Location,cases,deaths,CFR,report_date
MUNTINLUPA CITY,1583,3.0,0.0018951358180669614,2019-12-29
NAGA CITY,874,3.0,0.003432494279176201,2019-12-29
NAVOTAS CITY,578,4.0,0.006920415224913495,2019-12-29
NEGROS OCCIDENTAL,11588,61.0,0.00526406627545737,2019-12-29
NEGROS ORIENTAL,6508,19.0,0.0029194837123540257,2019-12-29
NORTH COTABATO,6251,30.0,0.004799232122860342,2019-12-29
NORTHERN SAMAR,2200,6.0,0.0027272727272727275,2019-12-29
NUEVA ECIJA,7884,34.0,0.0043125317097919835,2019-12-29
NUEVA VISCAYA,3284,7.0,0.002131546894031669,2019-12-29
OCCIDENTAL MINDORO,1528,2.0,0.0013089005235602095,2019-12-29
OLONGAPO CITY,366,2.0,0.00546448087431694,2019-12-29
ORIENTAL MINDORO,3042,12.0,0.0039447731755424065,2019-12-29
ORMOC CITY,1132,5.0,0.00441696113074205,2019-12-29
PALAWAN,3081,8.0,0.002596559558584875,2019-12-29
PAMPANGA,5764,5.0,0.0008674531575294934,2019-12-29
PANGASINAN,9598,14.0,0.0014586372160866848,2019-12-29
PARANAQUE CITY,3295,9.0,0.002731411229135053,2019-12-29
PASAY CITY,1220,2.0,0.001639344262295082,2019-12-29
PASIG CITY,2888,12.0,0.004155124653739612,2019-12-29
PATEROS,318,0.0,0.0,2019-12-29
PUERTO PRINCESA CITY,1403,1.0,0.0007127583749109052,2019-12-29
QUEZON,9904,24.0,0.0024232633279483036,2019-12-29
QUEZON CITY,11127,92.0,0.00826817650759414,2019-12-29
QUIRINO,1836,4.0,0.002178649237472767,2019-12-29
RIZAL,9847,59.0,0.005991672590636742,2019-12-29
ROMBLON,858,2.0,0.002331002331002331,2019-12-29
SAMAR,7846,9.0,0.0011470813153199083,2019-12-29
SAN JUAN CITY,452,0.0,0.0,2019-12-29
SANTIAGO CITY,353,5.0,0.014164305949008499,2019-12-29
SARANGANI,2155,11.0,0.005104408352668214,2019-12-29
SISQUIJOR,449,0.0,0.0,2019-12-29
SORSOGON,2153,11.0,0.005109150023223409,2019-12-29
SOUTH COTABATO,6582,30.0,0.004557885141294439,2019-12-29
SOUTHERN LEYTE,1149,7.0,0.006092254134029591,2019-12-29
SULTAN KUDARAT,2857,12.0,0.004200210010500525,2019-12-29
SULU,242,6.0,0.024793388429752067,2019-12-29
SURIGAO CITY,1128,2.0,0.0017730496453900709,2019-12-29
SURIGAO DEL NORTE,1356,1.0,0.0007374631268436578,2019-12-29
SURIGAO DEL SUR,2042,3.0,0.0014691478942213516,2019-12-29
TACLOBAN,2784,12.0,0.004310344827586207,2019-12-29
TAGUIG CITY,2481,14.0,0.005642885933091495,2019-12-29
TANDAG CITY,253,1.0,0.003952569169960474,2019-12-29
TARLAC,7276,17.0,0.002336448598130841,2019-12-29
TAWI-TAWI,165,2.0,0.012121212121212121,2019-12-29
VALENZUELA CITY,1637,10.0,0.006108735491753207,2019-12-29
ZAMBALES,1569,6.0,0.0038240917782026767,2019-12-29
ZAMBOANGA CITY,10247,33.0,0.0032204547672489508,2019-12-29
ZAMBOANGA DEL NORTE,5353,22.0,0.004109844946758827,2019-12-29
ZAMBOANGA DEL SUR,4579,27.0,0.0058964839484603624,2019-12-29
ZAMBOANGA SIBUGAY,6325,20.0,0.0031620553359683794,2019-12-29
